taxid,name_old,name_new
1408967,Mycobacterium tuberculosis UT0110,Mycobacterium tuberculosis UT0110
1408968,Mycobacterium tuberculosis UT0112,Mycobacterium tuberculosis UT0112
1408969,Mycobacterium tuberculosis UT0113,Mycobacterium tuberculosis UT0113
1408970,Mycobacterium tuberculosis UT0115,Mycobacterium tuberculosis UT0115
1408971,Mycobacterium tuberculosis UT0116,Mycobacterium tuberculosis UT0116
1408972,Mycobacterium tuberculosis UT0118,Mycobacterium tuberculosis UT0118
1408973,Mycobacterium tuberculosis UT0123,Mycobacterium tuberculosis UT0123
1408974,Mycobacterium tuberculosis UT0124,Mycobacterium tuberculosis UT0124
1408975,Mycobacterium tuberculosis UT0017,Mycobacterium tuberculosis UT0017
1413001,Mycobacterium tuberculosis M4D10pre,Mycobacterium tuberculosis M4D10pre
1413002,Mycobacterium tuberculosis M4D7pre,Mycobacterium tuberculosis M4D7pre
1413003,Mycobacterium tuberculosis M4D3pre,Mycobacterium tuberculosis M4D3pre
1413004,Mycobacterium tuberculosis M4D1,Mycobacterium tuberculosis M4D1
1413005,Mycobacterium tuberculosis M4D4,Mycobacterium tuberculosis M4D4
1413006,Mycobacterium tuberculosis M4D7,Mycobacterium tuberculosis M4D7
